x0,y0,z0,v0,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5
-40.00,45,0.5,80,-5.7,10.00,0.5,40,2.4,55,0.5,100,-50.00,49,0.5,50,-9.2,9.87,0.5,40,5.7,70.00,0.5,50
-39.45,45,0.5,80,-5.7,10.51,0.5,40,2.4,55,0.5,100,-49.24,49,0.5,50,-9.2,9.87,0.5,40,5.7,69.39,0.5,50
-38.90,45,0.5,80,-5.7,11.02,0.5,40,2.4,55,0.5,100,-48.48,49,0.5,50,-9.2,9.87,0.5,40,5.7,68.79,0.5,50
-38.35,45,0.5,80,-5.7,11.53,0.5,40,2.4,55,0.5,100,-47.73,49,0.5,50,-9.2,9.87,0.5,40,5.7,68.18,0.5,50
-37.80,45,0.5,80,-5.7,12.04,0.5,40,2.4,55,0.5,100,-46.97,49,0.5,50,-9.2,9.87,0.5,40,5.7,67.58,0.5,50
-37.24,45,0.5,80,-5.7,12.55,0.5,40,2.4,55,0.5,100,-46.21,49,0.5,50,-9.2,9.87,0.5,40,5.7,66.97,0.5,50
-36.69,45,0.5,80,-5.7,13.06,0.5,40,2.4,55,0.5,100,-45.45,49,0.5,50,-9.2,9.87,0.5,40,5.7,66.36,0.5,50
-36.14,45,0.5,80,-5.7,13.57,0.5,40,2.4,55,0.5,100,-44.70,49,0.5,50,-9.2,9.87,0.5,40,5.7,65.76,0.5,50
-35.59,45,0.5,80,-5.7,14.08,0.5,40,2.4,55,0.5,100,-43.94,49,0.5,50,-9.2,9.87,0.5,40,5.7,65.15,0.5,50
-35.04,45,0.5,80,-5.7,14.59,0.5,40,2.4,55,0.5,100,-43.18,49,0.5,50,-9.2,9.87,0.5,40,5.7,64.55,0.5,50
-34.49,45,0.5,80,-5.7,15.10,0.5,40,2.4,55,0.5,100,-42.42,49,0.5,50,-9.2,9.87,0.5,40,5.7,63.94,0.5,50
-33.94,45,0.5,80,-5.7,15.61,0.5,40,2.4,55,0.5,100,-41.67,49,0.5,50,-9.2,9.87,0.5,40,5.7,63.33,0.5,50
-33.39,45,0.5,80,-5.7,16.12,0.5,40,2.4,55,0.5,100,-40.91,49,0.5,50,-9.2,9.87,0.5,40,5.7,62.73,0.5,50
-32.84,45,0.5,80,-5.7,16.63,0.5,40,2.4,55,0.5,100,-40.15,49,0.5,50,-9.2,9.87,0.5,40,5.7,62.12,0.5,50
-32.29,45,0.5,80,-5.7,17.14,0.5,40,2.4,55,0.5,100,-39.39,49,0.5,50,-9.2,9.87,0.5,40,5.7,61.52,0.5,50
-31.73,45,0.5,80,-5.7,17.65,0.5,40,2.4,55,0.5,100,-38.64,49,0.5,50,-9.2,9.87,0.5,40,5.7,60.91,0.5,50
-31.18,45,0.5,80,-5.7,18.16,0.5,20,2.4,55,0.5,100,-37.88,49,0.5,50,-9.2,9.87,0.5,40,5.7,60.30,0.5,50
-30.63,45,0.5,80,-5.7,18.67,0.5,20,2.4,55,0.5,100,-37.12,49,0.5,50,-9.2,9.87,0.5,40,5.7,59.70,0.5,50
-30.08,45,0.5,80,-5.7,19.18,0.5,20,2.4,55,0.5,100,-36.36,49,0.5,50,-9.2,9.87,0.5,40,5.7,59.09,0.5,50
-29.53,45,0.5,80,-5.7,19.69,0.5,20,2.4,55,0.5,100,-35.61,49,0.5,50,-9.2,9.87,0.5,40,5.7,58.48,0.5,50
-28.98,45,0.5,80,-5.7,20.20,0.5,20,2.4,55,0.5,100,-34.85,49,0.5,50,-9.2,10.66,0.5,40,5.7,57.88,0.5,50
-28.43,45,0.5,80,-5.7,20.71,0.5,20,2.4,55,0.5,100,-34.09,49,0.5,50,-9.2,11.44,0.5,40,5.7,57.27,0.5,50
-27.88,45,0.5,80,-5.7,21.22,0.5,20,2.4,55,0.5,100,-33.33,49,0.5,50,-9.2,12.22,0.5,40,5.7,56.67,0.5,50
-27.33,45,0.5,80,-5.7,21.73,0.5,20,2.4,55,0.5,100,-32.58,49,0.5,50,-9.2,13.01,0.5,40,5.7,56.06,0.5,50
-26.78,45,0.5,80,-5.7,22.24,0.5,20,2.4,55,0.5,100,-31.82,49,0.5,50,-9.2,13.79,0.5,40,5.7,55.45,0.5,50
-26.22,45,0.5,80,-5.7,22.76,0.5,20,2.4,55,0.5,100,-31.06,49,0.5,50,-9.2,14.57,0.5,40,5.7,54.85,0.5,50
-25.67,45,0.5,80,-5.7,23.27,0.5,20,2.4,55,0.5,100,-30.30,49,0.5,50,-9.2,15.35,0.5,40,5.7,54.24,0.5,50
-25.12,45,0.5,80,-5.7,23.78,0.5,20,2.4,55,0.5,100,-29.55,49,0.5,50,-9.2,16.14,0.5,40,5.7,53.64,0.5,50
-24.57,45,0.5,80,-5.7,24.29,0.5,20,2.4,55,0.5,100,-28.79,49,0.5,50,-9.2,16.92,0.5,40,5.7,53.03,0.5,50
-24.02,45,0.5,80,-5.7,24.80,0.5,20,2.4,55,0.5,100,-28.03,49,0.5,50,-9.2,17.70,0.5,40,5.7,52.42,0.5,50
-23.47,45,0.5,80,-5.7,25.31,0.5,40,2.4,55,0.5,100,-27.27,49,0.5,50,-9.2,18.48,0.5,40,5.7,51.82,0.5,50
-22.92,45,0.5,80,-5.7,25.82,0.5,40,2.4,55,0.5,100,-26.52,49,0.5,50,-9.2,19.27,0.5,40,5.7,51.21,0.5,50
-22.37,45,0.5,80,-5.7,26.33,0.5,40,2.4,55,0.5,100,-25.76,49,0.5,50,-9.2,20.05,0.5,40,5.7,50.61,0.5,50
-21.82,45,0.5,80,-5.7,26.84,0.5,40,2.4,55,0.5,100,-25.00,49,0.5,50,-9.2,20.83,0.5,40,5.7,50.00,0.5,50
-21.27,45,0.5,80,-5.7,27.35,0.5,40,2.4,55,0.5,100,-24.24,49,0.5,50,-9.2,21.62,0.5,40,5.7,49.39,0.5,50
